sale normalSale store ad discount discountSEK week
15 6.67 249 0 46.04 12.8 8
43 6.8 250 0 24.62 4.9 7
23 6.67 250 0 24.62 4.9 8
16 2.2 251 0 24.62 4.9 7
8 2.67 251 0 24.62 4.9 8
54 11.5 252 0 43.4 11.5 7
35 8 252 0 43.4 11.5 8
24 11.5 252 1 33.96 9 9
37 5.2 253 0 24.62 4.9 7
20 6.33 253 0 24.62 4.9 8
30 7.75 254 0 43.4 11.5 7
14 6.5 254 0 43.4 11.5 8
12 7.75 254 1 33.96 9 9
42 13.6 255 0 24.62 4.9 7
19 13.67 255 0 24.62 4.9 8
151 21 256 0 24.62 4.9 7
37 24 256 0 24.62 4.9 8
69 10.2 257 0 24.62 4.9 7
29 11.33 257 0 24.62 4.9 8
57 13.75 258 0 39.76 9.9 7
28 10.5 258 0 39.76 9.9 8
42 13.75 258 1 29.72 7.4 9
148 16 259 0 24.62 4.9 7
17 17.67 259 0 24.62 4.9 8
8 2.4 260 0 46.04 12.8 7
27 5.25 261 0 43.4 11.5 7
8 5.5 261 0 43.4 11.5 8
19 5.25 261 1 33.96 9 9
35 6 262 0 43.4 11.5 7
20 8.5 262 0 43.4 11.5 8
22 6 262 1 33.96 9 9
69 8 263 0 43.4 11.5 7
18 8.5 263 0 43.4 11.5 8
46 8 263 1 33.96 9 9
23 5 264 0 43.4 11.5 7
14 6.67 264 0 43.4 11.5 8
25 5 264 1 33.96 9 9
13 3 265 0 46.04 12.8 7
10 2.5 265 0 46.04 12.8 8
5 3 265 1 37.05 10.3 9
34 5 266 0 46.04 12.8 7
14 5.5 266 0 46.04 12.8 8
15 5 266 1 37.05 10.3 9
17 1 267 0 46.04 12.8 7
